[ 2012-09-06T16:03:28+08:00 ] /rbac.php/Node/index/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000756s ]
[ 2012-09-06T16:03:28+08:00 ] /rbac.php/Node/index/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.000805s ]
[ 2012-09-06T16:03:30+08:00 ] /rbac.php/Role/index/ | INFO: Tag[ route_check ] --START--
[ 2012-09-06T16:03:30+08:00 ] /rbac.php/Role/index/ | INFO: Run CheckRoute Behavior [ RunTime:0.000836s ]
[ 2012-09-06T16:03:30+08:00 ] /rbac.php/Role/index/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.000917s ]
[ 2012-09-06T16:03:30+08:00 ] /rbac.php/Role/index/ | INFO: Tag[ app_begin ] --START--
[ 2012-09-06T16:03:30+08:00 ] /rbac.php/Role/index/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000967s ]
[ 2012-09-06T16:03:30+08:00 ] /rbac.php/Role/index/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001024s ]
[ 2012-09-06T16:03:30+08:00 ] /rbac.php/Role/index/ | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.003804s ]
[ 2012-09-06T16:03:30+08:00 ] /rbac.php/Role/index/ | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000470s ]
[ 2012-09-06T16:03:30+08:00 ] /rbac.php/Role/index/ | SQL: SHOW COLUMNS FROM `think_role` [ RunTime:0.003059s ]
[ 2012-09-06T16:03:30+08:00 ] /rbac.php/Role/index/ | NOTIC: [8] Undefined index:  name RoleAction.class.php 第 5 行.
[ 2012-09-06T16:03:30+08:00 ] /rbac.php/Role/index/ | SQL: SHOW COLUMNS FROM `think_role` [ RunTime:0.002824s ]
[ 2012-09-06T16:03:30+08:00 ] /rbac.php/Role/index/ | SQL: SELECT COUNT(id) AS tp_count FROM `think_role` WHERE ( `name` LIKE '%%' ) LIMIT 1   [ RunTime:0.000355s ]
[ 2012-09-06T16:03:30+08:00 ] /rbac.php/Role/index/ | SQL: SELECT * FROM `think_role` WHERE ( `name` LIKE '%%' ) ORDER BY `id` desc LIMIT 0,20   [ RunTime:0.000520s ]
[ 2012-09-06T16:03:30+08:00 ] /rbac.php/Role/index/ | INFO: Tag[ view_template ] --START--
[ 2012-09-06T16:03:30+08:00 ] /rbac.php/Role/index/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001345s ]
[ 2012-09-06T16:03:30+08:00 ] /rbac.php/Role/index/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.001395s ]
[ 2012-09-06T16:03:30+08:00 ] /rbac.php/Role/index/ | INFO: Tag[ view_parse ] --START--
[ 2012-09-06T16:03:30+08:00 ] /rbac.php/Role/index/ | NOTIC: [8] Undefined index:  sort TagLibHtml.class.php 第 429 行.
[ 2012-09-06T16:03:30+08:00 ] /rbac.php/Role/index/ | INFO: Run ParseTemplate Behavior [ RunTime:0.013852s ]
[ 2012-09-06T16:03:30+08:00 ] /rbac.php/Role/index/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.013905s ]
[ 2012-09-06T16:03:30+08:00 ] /rbac.php/Role/index/ | INFO: Tag[ view_filter ] --START--
[ 2012-09-06T16:03:30+08:00 ] /rbac.php/Role/index/ | INFO: Run ContentReplace Behavior [ RunTime:0.000603s ]
[ 2012-09-06T16:03:30+08:00 ] /rbac.php/Role/index/ | INFO: Run TokenBuild Behavior [ RunTime:0.000712s ]
