[ 2012-07-05T14:03:09+08:00 ] /rbac.php/Public/main | INFO: Tag[ view_parse ] --END-- [ RunTime:0.007189s ]
[ 2012-07-05T14:03:09+08:00 ] /rbac.php/Public/main | INFO: Tag[ view_filter ] --START--
[ 2012-07-05T14:03:09+08:00 ] /rbac.php/Public/main | INFO: Run ContentReplace Behavior [ RunTime:0.000266s ]
[ 2012-07-05T14:03:09+08:00 ] /rbac.php/Public/main | INFO: Run TokenBuild Behavior [ RunTime:0.000440s ]
[ 2012-07-05T14:03:09+08:00 ] /rbac.php/Public/main | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000165s ]
[ 2012-07-05T14:03:09+08:00 ] /rbac.php/Public/main | INFO: Run ShowRuntime Behavior [ RunTime:0.000322s ]
[ 2012-07-05T14:03:09+08:00 ] /rbac.php/Public/main | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001317s ]
[ 2012-07-05T14:03:09+08:00 ] /rbac.php/Public/main | INFO: Tag[ view_end ] --START--
[ 2012-07-05T14:03:09+08:00 ] /rbac.php/Public/main | INFO: Run ShowPageTrace Behavior [ RunTime:0.000310s ]
[ 2012-07-05T14:03:09+08:00 ] /rbac.php/Public/main | INFO: Tag[ view_end ] --END-- [ RunTime:0.000354s ]
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Public/footer | INFO: Tag[ route_check ] --START--
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Public/footer | INFO: Run CheckRoute Behavior [ RunTime:0.000824s ]
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Public/footer | INFO: Tag[ route_check ] --END-- [ RunTime:0.000890s ]
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Public/footer | INFO: Tag[ app_begin ] --START--
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Public/footer | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000605s ]
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Public/footer | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000659s ]
[ 2012-07-05T14:03:09+08:00 ] /rbac.php/Public/footer | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.003292s ]
[ 2012-07-05T14:03:09+08:00 ] /rbac.php/Public/footer | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000414s ]
[ 2012-07-05T14:03:09+08:00 ] /rbac.php/Public/footer | INFO: Tag[ view_template ] --START--
[ 2012-07-05T14:03:09+08:00 ] /rbac.php/Public/footer | INFO: Run LocationTemplate Behavior [ RunTime:0.000822s ]
[ 2012-07-05T14:03:09+08:00 ] /rbac.php/Public/footer | INFO: Tag[ view_template ] --END-- [ RunTime:0.000884s ]
