[ 2012-07-05T16:03:32+08:00 ] /Index.php?s=/Index/test | INFO: Tag[ route_check ] --START--
[ 2012-07-05T16:03:32+08:00 ] /Index.php?s=/Index/test | INFO: Run CheckRoute Behavior [ RunTime:0.000701s ]
[ 2012-07-05T16:03:32+08:00 ] /Index.php?s=/Index/test | INFO: Tag[ route_check ] --END-- [ RunTime:0.000779s ]
[ 2012-07-05T16:03:32+08:00 ] /Index.php?s=/Index/test | INFO: Tag[ app_begin ] --START--
[ 2012-07-05T16:03:32+08:00 ] /Index.php?s=/Index/test | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000406s ]
[ 2012-07-05T16:03:32+08:00 ] /Index.php?s=/Index/test | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000452s ]
[ 2012-07-05T16:03:32+08:00 ] /Index.php?s=/Index/test | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.003498s ]
[ 2012-07-05T16:03:32+08:00 ] /Index.php?s=/Index/test | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40658' AND `title`='bbb' LIMIT 1   [ RunTime:0.000456s ]
[ 2012-07-05T16:03:34+08:00 ] /Index.php?s=/Index/test | INFO: Tag[ route_check ] --START--
[ 2012-07-05T16:03:34+08:00 ] /Index.php?s=/Index/test | INFO: Run CheckRoute Behavior [ RunTime:0.000614s ]
[ 2012-07-05T16:03:34+08:00 ] /Index.php?s=/Index/test | INFO: Tag[ route_check ] --END-- [ RunTime:0.000695s ]
[ 2012-07-05T16:03:34+08:00 ] /Index.php?s=/Index/test | INFO: Tag[ app_begin ] --START--
[ 2012-07-05T16:03:34+08:00 ] /Index.php?s=/Index/test | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000452s ]
[ 2012-07-05T16:03:34+08:00 ] /Index.php?s=/Index/test | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000517s ]
[ 2012-07-05T16:03:34+08:00 ] /Index.php?s=/Index/test | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.003372s ]
[ 2012-07-05T16:03:34+08:00 ] /Index.php?s=/Index/test | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000413s ]
[ 2012-07-05T16:03:34+08:00 ] /Index.php?s=/Index/test | INFO: Tag[ route_check ] --START--
[ 2012-07-05T16:03:34+08:00 ] /Index.php?s=/Index/test | INFO: Run CheckRoute Behavior [ RunTime:0.001396s ]
[ 2012-07-05T16:03:34+08:00 ] /Index.php?s=/Index/test | INFO: Tag[ route_check ] --END-- [ RunTime:0.001552s ]
