[ 2012-07-25T15:38:37+08:00 ] /Index.php?s=/Chanpin/zituantuanyuan/chanpinID/31353 | INFO: Run TokenBuild Behavior [ RunTime:0.000150s ]
[ 2012-07-25T15:38:37+08:00 ] /Index.php?s=/Chanpin/zituantuanyuan/chanpinID/31353 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000011s ]
[ 2012-07-25T15:38:37+08:00 ] /Index.php?s=/Chanpin/zituantuanyuan/chanpinID/31353 | INFO: Run ShowRuntime Behavior [ RunTime:0.000085s ]
[ 2012-07-25T15:38:37+08:00 ] /Index.php?s=/Chanpin/zituantuanyuan/chanpinID/31353 | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.015332s ]
[ 2012-07-25T15:38:37+08:00 ] /Index.php?s=/Chanpin/zituantuanyuan/chanpinID/31353 | INFO: Tag[ view_end ] --START--
[ 2012-07-25T15:38:37+08:00 ] /Index.php?s=/Chanpin/zituantuanyuan/chanpinID/31353 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000018s ]
[ 2012-07-25T15:38:37+08:00 ] /Index.php?s=/Chanpin/zituantuanyuan/chanpinID/31353 | INFO: Tag[ view_end ] --END-- [ RunTime:-0.015589s ]
[ 2012-07-25T15:38:40+08:00 ] /Index.php?s=/Method/_cleardingdan | INFO: Tag[ route_check ] --START--
[ 2012-07-25T15:38:40+08:00 ] /Index.php?s=/Method/_cleardingdan | INFO: Run CheckRoute Behavior [ RunTime:0.001476s ]
[ 2012-07-25T15:38:40+08:00 ] /Index.php?s=/Method/_cleardingdan | INFO: Tag[ route_check ] --END-- [ RunTime:0.001605s ]
[ 2012-07-25T15:38:40+08:00 ] /Index.php?s=/Method/_cleardingdan | INFO: Tag[ app_begin ] --START--
[ 2012-07-25T15:38:40+08:00 ] /Index.php?s=/Method/_cleardingdan | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000814s ]
[ 2012-07-25T15:38:40+08:00 ] /Index.php?s=/Method/_cleardingdan | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000914s ]
[ 2012-07-25T15:38:40+08:00 ] /Index.php?s=/Method/_cleardingdan | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.003002s ]
[ 2012-07-25T15:38:40+08:00 ] /Index.php?s=/Method/_cleardingdan | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000377s ]
[ 2012-07-25T15:38:40+08:00 ] /Index.php?s=/Method/_cleardingdan | SQL: SHOW COLUMNS FROM `myerp_chanpin` [ RunTime:0.002557s ]
[ 2012-07-25T15:38:40+08:00 ] /Index.php?s=/Method/_cleardingdan | SQL: SELECT * FROM `myerp_chanpin` WHERE `marktype` = 'dingdan' and `status` = '占位'  [ RunTime:0.000321s ]
[ 2012-07-25T15:38:40+08:00 ] /Index.php?s=/Method/_cleardingdan | NOTIC: [2] Invalid argument supplied for foreach() MethodAction.class.php 第 1165 行.
[ 2012-07-25T15:38:43+08:00 ] /Index.php?s=/Method/_cleardingdan | INFO: Tag[ route_check ] --START--
[ 2012-07-25T15:38:43+08:00 ] /Index.php?s=/Method/_cleardingdan | INFO: Run CheckRoute Behavior [ RunTime:0.000618s ]
[ 2012-07-25T15:38:43+08:00 ] /Index.php?s=/Method/_cleardingdan | INFO: Tag[ route_check ] --END-- [ RunTime:0.000698s ]
[ 2012-07-25T15:38:43+08:00 ] /Index.php?s=/Method/_cleardingdan | INFO: Tag[ app_begin ] --START--
[ 2012-07-25T15:38:43+08:00 ] /Index.php?s=/Method/_cleardingdan | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000383s ]
[ 2012-07-25T15:38:43+08:00 ] /Index.php?s=/Method/_cleardingdan | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000429s ]
[ 2012-07-25T15:38:43+08:00 ] /Index.php?s=/Method/_cleardingdan | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.003065s ]
[ 2012-07-25T15:38:43+08:00 ] /Index.php?s=/Method/_cleardingdan | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000329s ]
[ 2012-07-25T15:38:43+08:00 ] /Index.php?s=/Method/_cleardingdan | SQL: SHOW COLUMNS FROM `myerp_chanpin` [ RunTime:0.002914s ]
