[ 2012-08-20T17:04:59+08:00 ] /Index.php?s=/Chanpin/danxiangfuwu | INFO: Tag[ view_filter ] --START--
[ 2012-08-20T17:04:59+08:00 ] /Index.php?s=/Chanpin/danxiangfuwu | INFO: Run ContentReplace Behavior [ RunTime:0.000128s ]
[ 2012-08-20T17:04:59+08:00 ] /Index.php?s=/Chanpin/danxiangfuwu | INFO: Run TokenBuild Behavior [ RunTime:0.000119s ]
[ 2012-08-20T17:04:59+08:00 ] /Index.php?s=/Chanpin/danxiangfuwu | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000011s ]
[ 2012-08-20T17:04:59+08:00 ] /Index.php?s=/Chanpin/danxiangfuwu | INFO: Run ShowRuntime Behavior [ RunTime:0.000071s ]
[ 2012-08-20T17:04:59+08:00 ] /Index.php?s=/Chanpin/danxiangfuwu | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.008131s ]
[ 2012-08-20T17:04:59+08:00 ] /Index.php?s=/Chanpin/danxiangfuwu | INFO: Tag[ view_end ] --START--
[ 2012-08-20T17:04:59+08:00 ] /Index.php?s=/Chanpin/danxiangfuwu | INFO: Run ShowPageTrace Behavior [ RunTime:0.000018s ]
[ 2012-08-20T17:04:59+08:00 ] /Index.php?s=/Chanpin/danxiangfuwu | INFO: Tag[ view_end ] --END-- [ RunTime:-0.008212s ]
[ 2012-08-20T17:05:01+08:00 ] /Index.php?s=/Chanpin/danxiangfuwu/type/%E5%8A%9E%E8%AF%81 | INFO: Tag[ route_check ] --START--
[ 2012-08-20T17:05:01+08:00 ] /Index.php?s=/Chanpin/danxiangfuwu/type/%E5%8A%9E%E8%AF%81 | INFO: Run CheckRoute Behavior [ RunTime:0.001294s ]
