[ 2012-07-06T09:48:53+08:00 ] /Index.php?s=/Chanpin | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000284s ]
[ 2012-07-06T09:48:53+08:00 ] /Index.php?s=/Chanpin | SQL: SHOW COLUMNS FROM `myerpview_om_xianlu` [ RunTime:0.005785s ]
[ 2012-07-06T09:48:53+08:00 ] /Index.php?s=/Chanpin | NOTIC: [8] Undefined index:  _type MethodAction.class.php 第 309 行.
[ 2012-07-06T09:48:53+08:00 ] /Index.php?s=/Chanpin | SQL: SHOW COLUMNS FROM `model` [ RunTime:0.002308s ]
[ 2012-07-06T09:48:53+08:00 ] /Index.php?s=/Chanpin | SQL: SHOW COLUMNS FROM `myerpview_system_dur` [ RunTime:0.002703s ]
[ 2012-07-06T09:48:53+08:00 ] /Index.php?s=/Chanpin | SQL: SELECT * FROM `myerpview_system_dur` WHERE `userID` = 40449  [ RunTime:0.000384s ]
[ 2012-07-06T09:48:53+08:00 ] /Index.php?s=/Chanpin | NOTIC: [8] Undefined variable: whereitem MethodAction.class.php 第 77 行.
[ 2012-07-06T09:48:53+08:00 ] /Index.php?s=/Chanpin | NOTIC: [8] Undefined variable: whereitem MethodAction.class.php 第 78 行.
[ 2012-07-06T09:48:53+08:00 ] /Index.php?s=/Chanpin | NOTIC: [8] Undefined index:  uesrID MethodAction.class.php 第 81 行.
[ 2012-07-06T09:48:53+08:00 ] /Index.php?s=/Chanpin | NOTIC: [8] Undefined index:  uesrID MethodAction.class.php 第 81 行.
[ 2012-07-06T09:48:53+08:00 ] /Index.php?s=/Chanpin | SQL: SHOW COLUMNS FROM `myerpview_om_xianlu` [ RunTime:0.005355s ]
[ 2012-07-06T09:48:53+08:00 ] /Index.php?s=/Chanpin | SQL: SELECT DISTINCT  COUNT(*) AS tp_count FROM `myerpview_om_xianlu` WHERE ( `type` = '管理' ) AND ((`DUR` = '40150,40185,') OR (`DUR` = '40150,,') OR (`DUR` = ',40185,') OR (`DUR` = ',,') OR (`DUR` = '40178,40189,') OR (`DUR` = '40178,,') OR (`DUR` = ',40189,') OR (`DUR` = ',,')) LIMIT 1   [ RunTime:0.000496s ]
[ 2012-07-06T09:48:53+08:00 ] /Index.php?s=/Chanpin | NOTIC: [2] Division by zero Page.class.php 第 51 行.
[ 2012-07-06T09:48:53+08:00 ] /Index.php?s=/Chanpin | NOTIC: [2] Division by zero Page.class.php 第 75 行.
[ 2012-07-06T09:48:53+08:00 ] /Index.php?s=/Chanpin | SQL: SELECT DISTINCT  `dataID` FROM `myerpview_om_xianlu` WHERE ( `type` = '管理' ) AND ((`DUR` = '40150,40185,') OR (`DUR` = '40150,,') OR (`DUR` = ',40185,') OR (`DUR` = ',,') OR (`DUR` = '40178,40189,') OR (`DUR` = '40178,,') OR (`DUR` = ',40189,') OR (`DUR` = ',,')) LIMIT 0,20   [ RunTime:0.000418s ]
[ 2012-07-06T09:48:53+08:00 ] /Index.php?s=/Chanpin | SQL: SHOW COLUMNS FROM `xianlu` [ RunTime:0.002229s ]
[ 2012-07-06T09:48:53+08:00 ] /Index.php?s=/Chanpin | SQL: SHOW COLUMNS FROM `xianlu` [ RunTime:0.002134s ]
[ 2012-07-06T09:48:53+08:00 ] /Index.php?s=/Chanpin | SQL: SHOW COLUMNS FROM `myerpview_chanpin_xianlu` [ RunTime:0.005016s ]
[ 2012-07-06T09:48:53+08:00 ] /Index.php?s=/Chanpin | SQL: SELECT * FROM `myerpview_chanpin_xianlu` WHERE 1=1 AND chanpinID='31175' LIMIT 1   [ RunTime:0.000403s ]
[ 2012-07-06T09:48:53+08:00 ] /Index.php?s=/Chanpin | NOTIC: [8] Undefined variable: j MethodAction.class.php 第 482 行.
[ 2012-07-06T09:48:53+08:00 ] /Index.php?s=/Chanpin | INFO: Tag[ view_template ] --START--
[ 2012-07-06T09:48:53+08:00 ] /Index.php?s=/Chanpin | INFO: Run LocationTemplate Behavior [ RunTime:0.000896s ]
[ 2012-07-06T09:48:53+08:00 ] /Index.php?s=/Chanpin | INFO: Tag[ view_template ] --END-- [ RunTime:0.000952s ]
