[ 2012-07-25T11:35:31+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31180/xianluID/31175/shoujiaID/31294 | SQL: SHOW COLUMNS FROM `myerp_chanpin_shoujia` [ RunTime:0.002546s ]
[ 2012-07-25T11:35:31+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31180/xianluID/31175/shoujiaID/31294 | SQL: SHOW COLUMNS FROM `myerp_chanpin_shoujia` [ RunTime:0.002471s ]
[ 2012-07-25T11:35:31+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31180/xianluID/31175/shoujiaID/31294 | SQL: SELECT * FROM `myerp_chanpin_shoujia` WHERE 1=1 AND chanpinID='31294' LIMIT 1   [ RunTime:0.000176s ]
[ 2012-07-25T11:35:31+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31180/xianluID/31175/shoujiaID/31294 | SQL: SHOW COLUMNS FROM `myerp_dataCopy` [ RunTime:0.002523s ]
[ 2012-07-25T11:35:31+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31180/xianluID/31175/shoujiaID/31294 | SQL: SELECT * FROM `myerp_dataCopy` WHERE `dataID` = '31175' and `datatype` = '线路' ORDER BY time desc LIMIT 1   [ RunTime:0.000248s ]
[ 2012-07-25T11:35:31+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31180/xianluID/31175/shoujiaID/31294 | SQL: SHOW COLUMNS FROM `myerpview_system_datadictionary` [ RunTime:0.004799s ]
[ 2012-07-25T11:35:31+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31180/xianluID/31175/shoujiaID/31294 | SQL: SELECT * FROM `myerpview_system_datadictionary` WHERE `title` = '2222' and `type` = '视频' LIMIT 1   [ RunTime:0.000287s ]
[ 2012-07-25T11:35:31+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31180/xianluID/31175/shoujiaID/31294 | SQL: SELECT * FROM `myerpview_system_datadictionary` WHERE `title` = 'tup ' and `type` = '图片' LIMIT 1   [ RunTime:0.000261s ]
[ 2012-07-25T11:35:31+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31180/xianluID/31175/shoujiaID/31294 | SQL: SELECT * FROM `myerpview_system_datadictionary` WHERE `title` = '345353' and `type` = '图片' LIMIT 1   [ RunTime:0.000256s ]
[ 2012-07-25T11:35:31+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31180/xianluID/31175/shoujiaID/31294 | SQL: SELECT * FROM `myerpview_system_datadictionary` WHERE `title` = '尔特' and `type` = '图片' LIMIT 1   [ RunTime:0.000255s ]
[ 2012-07-25T11:35:31+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31180/xianluID/31175/shoujiaID/31294 | SQL: SHOW COLUMNS FROM `myerpview_chanpin_zituan` [ RunTime:0.002770s ]
[ 2012-07-25T11:35:31+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31180/xianluID/31175/shoujiaID/31294 | SQL: SELECT * FROM `myerpview_chanpin_zituan` WHERE `chanpinID` = '31180' LIMIT 1   [ RunTime:0.000301s ]
[ 2012-07-25T11:35:31+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31180/xianluID/31175/shoujiaID/31294 | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.002687s ]
[ 2012-07-25T11:35:31+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31180/xianluID/31175/shoujiaID/31294 | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000307s ]
[ 2012-07-25T11:35:31+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31180/xianluID/31175/shoujiaID/31294 | SQL: SHOW COLUMNS FROM `myerp_chanpin` [ RunTime:0.002536s ]
[ 2012-07-25T11:35:31+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31180/xianluID/31175/shoujiaID/31294 | SQL: SELECT * FROM `myerp_chanpin` WHERE `chanpinID` = '31180' LIMIT 1   [ RunTime:0.000225s ]
[ 2012-07-25T11:35:31+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31180/xianluID/31175/shoujiaID/31294 | SQL: SHOW COLUMNS FROM `myerpview_chanpin_dingdan` [ RunTime:0.002927s ]
[ 2012-07-25T11:35:31+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31180/xianluID/31175/shoujiaID/31294 | SQL: SHOW COLUMNS FROM `myerpview_chanpin_dingdan` [ RunTime:0.003011s ]
[ 2012-07-25T11:35:31+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31180/xianluID/31175/shoujiaID/31294 | SQL: SELECT * FROM `myerpview_chanpin_dingdan` WHERE 1=1 AND parentID='31180'  [ RunTime:0.000414s ]
[ 2012-07-25T11:35:31+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31180/xianluID/31175/shoujiaID/31294 | NOTIC: [8] Undefined index:  baomingrenshu MethodAction.class.php 第 1177 行.
[ 2012-07-25T11:35:31+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31180/xianluID/31175/shoujiaID/31294 | NOTIC: [8] Undefined index:  baomingjiage MethodAction.class.php 第 1178 行.
[ 2012-07-25T11:35:31+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31180/xianluID/31175/shoujiaID/31294 | NOTIC: [8] Undefined index:  shoujiarenshu MethodAction.class.php 第 1183 行.
[ 2012-07-25T11:35:31+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31180/xianluID/31175/shoujiaID/31294 | NOTIC: [8] Undefined index:  shoujiajiage MethodAction.class.php 第 1184 行.
[ 2012-07-25T11:35:31+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31180/xianluID/31175/shoujiaID/31294 | NOTIC: [8] Undefined index:  chengrenshu MethodAction.class.php 第 1185 行.
[ 2012-07-25T11:35:31+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31180/xianluID/31175/shoujiaID/31294 | NOTIC: [8] Undefined index:  lingduirenshu MethodAction.class.php 第 1186 行.
[ 2012-07-25T11:35:31+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31180/xianluID/31175/shoujiaID/31294 | NOTIC: [8] Undefined index:  ertongrenshu MethodAction.class.php 第 1187 行.
[ 2012-07-25T11:35:31+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31180/xianluID/31175/shoujiaID/31294 | NOTIC: [8] Undefined index:  houburenshu MethodAction.class.php 第 1193 行.
[ 2012-07-25T11:35:31+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31180/xianluID/31175/shoujiaID/31294 | NOTIC: [8] Undefined variable: renshu XiaoshouAction.class.php 第 91 行.
[ 2012-07-25T11:35:31+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31180/xianluID/31175/shoujiaID/31294 | SQL: SHOW COLUMNS FROM `myerpview_system_department` [ RunTime:0.002792s ]
[ 2012-07-25T11:35:31+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31180/xianluID/31175/shoujiaID/31294 | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.002791s ]
[ 2012-07-25T11:35:31+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31180/xianluID/31175/shoujiaID/31294 | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000310s ]
[ 2012-07-25T11:35:31+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31180/xianluID/31175/shoujiaID/31294 | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.002757s ]
[ 2012-07-25T11:35:31+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31180/xianluID/31175/shoujiaID/31294 | SQL: SELECT * FROM `myerpview_system_user` WHERE `title` = '我爱中华' LIMIT 1   [ RunTime:0.000328s ]
[ 2012-07-25T11:35:31+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31180/xianluID/31175/shoujiaID/31294 | SQL: SHOW COLUMNS FROM `myerp_system_DUR` [ RunTime:0.002780s ]
[ 2012-07-25T11:35:31+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31180/xianluID/31175/shoujiaID/31294 | SQL: SELECT * FROM `myerp_system_DUR` WHERE `userID` = '40893'  [ RunTime:0.000242s ]
[ 2012-07-25T11:35:31+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31180/xianluID/31175/shoujiaID/31294 | SQL: SELECT * FROM `myerpview_system_department` WHERE `systemID` = '40178' LIMIT 1   [ RunTime:0.000357s ]
[ 2012-07-25T11:35:31+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31180/xianluID/31175/shoujiaID/31294 | SQL: SHOW COLUMNS FROM `myerpview_system_datadictionary` [ RunTime:0.004813s ]
[ 2012-07-25T11:35:31+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31180/xianluID/31175/shoujiaID/31294 | SQL: SELECT * FROM `myerpview_system_datadictionary` WHERE `type` = '提成'  [ RunTime:0.000364s ]
[ 2012-07-25T11:35:31+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31180/xianluID/31175/shoujiaID/31294 | NOTIC: [8] Undefined index:  doprint XiaoshouAction.class.php 第 109 行.
[ 2012-07-25T11:35:31+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31180/xianluID/31175/shoujiaID/31294 | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.002963s ]
[ 2012-07-25T11:35:31+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31180/xianluID/31175/shoujiaID/31294 | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000330s ]
[ 2012-07-25T11:35:31+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31180/xianluID/31175/shoujiaID/31294 | SQL: SHOW COLUMNS FROM `myerp_chanpin` [ RunTime:0.002556s ]
[ 2012-07-25T11:35:31+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31180/xianluID/31175/shoujiaID/31294 | SQL: SELECT * FROM `myerp_chanpin` WHERE `marktype` = 'dingdan' and `status` = '占位'  [ RunTime:0.000317s ]
[ 2012-07-25T11:35:31+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31180/xianluID/31175/shoujiaID/31294 | NOTIC: [2] Invalid argument supplied for foreach() MethodAction.class.php 第 1163 行.
[ 2012-07-25T11:35:31+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31180/xianluID/31175/shoujiaID/31294 | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.002698s ]
