[ 2012-08-20T15:43:36+08:00 ] /Index.php?s=/Xiaoshou/dingdanlist | SQL: SHOW COLUMNS FROM `dingdan` [ RunTime:0.002173s ]
[ 2012-08-20T15:43:36+08:00 ] /Index.php?s=/Xiaoshou/dingdanlist | SQL: SHOW COLUMNS FROM `myerpview_chanpin_dingdan` [ RunTime:0.003127s ]
[ 2012-08-20T15:43:36+08:00 ] /Index.php?s=/Xiaoshou/dingdanlist | SQL: SELECT * FROM `myerpview_chanpin_dingdan` WHERE 1=1 AND chanpinID='31276' LIMIT 1   [ RunTime:0.000337s ]
[ 2012-08-20T15:43:36+08:00 ] /Index.php?s=/Xiaoshou/dingdanlist | SQL: SHOW COLUMNS FROM `dingdan` [ RunTime:0.002189s ]
[ 2012-08-20T15:43:36+08:00 ] /Index.php?s=/Xiaoshou/dingdanlist | SQL: SHOW COLUMNS FROM `dingdan` [ RunTime:0.002139s ]
[ 2012-08-20T15:43:36+08:00 ] /Index.php?s=/Xiaoshou/dingdanlist | SQL: SHOW COLUMNS FROM `myerpview_chanpin_dingdan` [ RunTime:0.002866s ]
[ 2012-08-20T15:43:36+08:00 ] /Index.php?s=/Xiaoshou/dingdanlist | SQL: SELECT * FROM `myerpview_chanpin_dingdan` WHERE 1=1 AND chanpinID='31275' LIMIT 1   [ RunTime:0.000288s ]
[ 2012-08-20T15:43:36+08:00 ] /Index.php?s=/Xiaoshou/dingdanlist | SQL: SHOW COLUMNS FROM `dingdan` [ RunTime:0.002166s ]
[ 2012-08-20T15:43:36+08:00 ] /Index.php?s=/Xiaoshou/dingdanlist | SQL: SHOW COLUMNS FROM `dingdan` [ RunTime:0.002198s ]
[ 2012-08-20T15:43:36+08:00 ] /Index.php?s=/Xiaoshou/dingdanlist | SQL: SHOW COLUMNS FROM `myerpview_chanpin_dingdan` [ RunTime:0.003110s ]
[ 2012-08-20T15:43:36+08:00 ] /Index.php?s=/Xiaoshou/dingdanlist | SQL: SELECT * FROM `myerpview_chanpin_dingdan` WHERE 1=1 AND chanpinID='31265' LIMIT 1   [ RunTime:0.000386s ]
[ 2012-08-20T15:43:36+08:00 ] /Index.php?s=/Xiaoshou/dingdanlist | SQL: SHOW COLUMNS FROM `dingdan` [ RunTime:0.002204s ]
[ 2012-08-20T15:43:36+08:00 ] /Index.php?s=/Xiaoshou/dingdanlist | SQL: SHOW COLUMNS FROM `dingdan` [ RunTime:0.002220s ]
[ 2012-08-20T15:43:36+08:00 ] /Index.php?s=/Xiaoshou/dingdanlist | SQL: SHOW COLUMNS FROM `myerpview_chanpin_dingdan` [ RunTime:0.002940s ]
[ 2012-08-20T15:43:36+08:00 ] /Index.php?s=/Xiaoshou/dingdanlist | SQL: SELECT * FROM `myerpview_chanpin_dingdan` WHERE 1=1 AND chanpinID='31264' LIMIT 1   [ RunTime:0.000322s ]
[ 2012-08-20T15:43:36+08:00 ] /Index.php?s=/Xiaoshou/dingdanlist | NOTIC: [8] Undefined variable: j MethodAction.class.php 第 584 行.
[ 2012-08-20T15:43:36+08:00 ] /Index.php?s=/Xiaoshou/dingdanlist | NOTIC: [2] Invalid argument supplied for foreach() MethodAction.class.php 第 582 行.
[ 2012-08-20T15:43:36+08:00 ] /Index.php?s=/Xiaoshou/dingdanlist | NOTIC: [2] Invalid argument supplied for foreach() MethodAction.class.php 第 582 行.
[ 2012-08-20T15:43:36+08:00 ] /Index.php?s=/Xiaoshou/dingdanlist | NOTIC: [2] Invalid argument supplied for foreach() MethodAction.class.php 第 582 行.
[ 2012-08-20T15:43:36+08:00 ] /Index.php?s=/Xiaoshou/dingdanlist | NOTIC: [2] Invalid argument supplied for foreach() MethodAction.class.php 第 582 行.
[ 2012-08-20T15:43:36+08:00 ] /Index.php?s=/Xiaoshou/dingdanlist | NOTIC: [2] Invalid argument supplied for foreach() MethodAction.class.php 第 582 行.
[ 2012-08-20T15:43:36+08:00 ] /Index.php?s=/Xiaoshou/dingdanlist | SQL: SHOW COLUMNS FROM `myerpview_system_datadictionary` [ RunTime:0.004836s ]
[ 2012-08-20T15:43:36+08:00 ] /Index.php?s=/Xiaoshou/dingdanlist | SQL: SELECT * FROM `myerpview_system_datadictionary` WHERE `systemID` = '43428' LIMIT 1   [ RunTime:0.000332s ]
[ 2012-08-20T15:43:36+08:00 ] /Index.php?s=/Xiaoshou/dingdanlist | SQL: SELECT * FROM `myerpview_system_datadictionary` WHERE `systemID` = '43428' LIMIT 1   [ RunTime:0.000265s ]
[ 2012-08-20T15:43:36+08:00 ] /Index.php?s=/Xiaoshou/dingdanlist | SQL: SELECT * FROM `myerpview_system_datadictionary` WHERE `systemID` = '43428' LIMIT 1   [ RunTime:0.000260s ]
[ 2012-08-20T15:43:36+08:00 ] /Index.php?s=/Xiaoshou/dingdanlist | SQL: SELECT * FROM `myerpview_system_datadictionary` WHERE `systemID` = '43428' LIMIT 1   [ RunTime:0.000258s ]
[ 2012-08-20T15:43:36+08:00 ] /Index.php?s=/Xiaoshou/dingdanlist | SQL: SELECT * FROM `myerpview_system_datadictionary` WHERE `systemID` = '43428' LIMIT 1   [ RunTime:0.000256s ]
[ 2012-08-20T15:43:36+08:00 ] /Index.php?s=/Xiaoshou/dingdanlist | SQL: SELECT * FROM `myerpview_system_datadictionary` WHERE `systemID` = '43428' LIMIT 1   [ RunTime:0.000238s ]
[ 2012-08-20T15:43:36+08:00 ] /Index.php?s=/Xiaoshou/dingdanlist | SQL: SELECT * FROM `myerpview_system_datadictionary` WHERE `systemID` = '43428' LIMIT 1   [ RunTime:0.000252s ]
[ 2012-08-20T15:43:36+08:00 ] /Index.php?s=/Xiaoshou/dingdanlist | SQL: SELECT * FROM `myerpview_system_datadictionary` WHERE `systemID` = '43428' LIMIT 1   [ RunTime:0.000246s ]
[ 2012-08-20T15:43:36+08:00 ] /Index.php?s=/Xiaoshou/dingdanlist | SQL: SELECT * FROM `myerpview_system_datadictionary` WHERE `systemID` = '43428' LIMIT 1   [ RunTime:0.000246s ]
[ 2012-08-20T15:43:36+08:00 ] /Index.php?s=/Xiaoshou/dingdanlist | SQL: SELECT * FROM `myerpview_system_datadictionary` WHERE `systemID` = '43428' LIMIT 1   [ RunTime:0.000244s ]
[ 2012-08-20T15:43:36+08:00 ] /Index.php?s=/Xiaoshou/dingdanlist | SQL: SELECT * FROM `myerpview_system_datadictionary` WHERE `systemID` = '43428' LIMIT 1   [ RunTime:0.000244s ]
[ 2012-08-20T15:43:36+08:00 ] /Index.php?s=/Xiaoshou/dingdanlist | SQL: SELECT * FROM `myerpview_system_datadictionary` WHERE `systemID` = '43428' LIMIT 1   [ RunTime:0.000263s ]
[ 2012-08-20T15:43:36+08:00 ] /Index.php?s=/Xiaoshou/dingdanlist | SQL: SELECT * FROM `myerpview_system_datadictionary` WHERE `systemID` = '43428' LIMIT 1   [ RunTime:0.000247s ]
[ 2012-08-20T15:43:36+08:00 ] /Index.php?s=/Xiaoshou/dingdanlist | SQL: SELECT * FROM `myerpview_system_datadictionary` WHERE `systemID` = '43428' LIMIT 1   [ RunTime:0.000244s ]
[ 2012-08-20T15:43:36+08:00 ] /Index.php?s=/Xiaoshou/dingdanlist | SQL: SELECT * FROM `myerpview_system_datadictionary` WHERE `systemID` = '43428' LIMIT 1   [ RunTime:0.000242s ]
[ 2012-08-20T15:43:36+08:00 ] /Index.php?s=/Xiaoshou/dingdanlist | NOTIC: [8] Undefined index:  tichengID XiaoshouAction.class.php 第 294 行.
[ 2012-08-20T15:43:36+08:00 ] /Index.php?s=/Xiaoshou/dingdanlist | SQL: SELECT * FROM `myerpview_system_datadictionary` WHERE `systemID` = '' LIMIT 1   [ RunTime:0.000236s ]
[ 2012-08-20T15:43:36+08:00 ] /Index.php?s=/Xiaoshou/dingdanlist | NOTIC: [8] Undefined index:  tichengID XiaoshouAction.class.php 第 294 行.
