[ 2012-07-09T15:57:04+08:00 ] /Index.php?s=/Chanpin/chengbenshoujia/chanpinID/31175 | SQL: SHOW COLUMNS FROM `myerpview_system_datadictionary` [ RunTime:0.005172s ]
[ 2012-07-09T15:57:04+08:00 ] /Index.php?s=/Chanpin/chengbenshoujia/chanpinID/31175 | SQL: SELECT * FROM `myerpview_system_datadictionary` WHERE `type` = '成本'  [ RunTime:0.000370s ]
[ 2012-07-09T15:57:04+08:00 ] /Index.php?s=/Chanpin/chengbenshoujia/chanpinID/31175 | NOTIC: [8] Undefined variable: d ChanpinAction.class.php 第 167 行.
[ 2012-07-09T15:57:04+08:00 ] /Index.php?s=/Chanpin/chengbenshoujia/chanpinID/31175 | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.003124s ]
[ 2012-07-09T15:57:04+08:00 ] /Index.php?s=/Chanpin/chengbenshoujia/chanpinID/31175 | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000353s ]
[ 2012-07-09T15:57:04+08:00 ] /Index.php?s=/Chanpin/chengbenshoujia/chanpinID/31175 | SQL: SHOW COLUMNS FROM `myerpview_system_category` [ RunTime:0.002939s ]
[ 2012-07-09T15:57:04+08:00 ] /Index.php?s=/Chanpin/chengbenshoujia/chanpinID/31175 | SQL: SHOW COLUMNS FROM `myerpview_system_department` [ RunTime:0.002749s ]
[ 2012-07-09T15:57:04+08:00 ] /Index.php?s=/Chanpin/chengbenshoujia/chanpinID/31175 | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.002726s ]
[ 2012-07-09T15:57:04+08:00 ] /Index.php?s=/Chanpin/chengbenshoujia/chanpinID/31175 | SQL: SHOW COLUMNS FROM `myerpview_system_roles` [ RunTime:0.002808s ]
[ 2012-07-09T15:57:04+08:00 ] /Index.php?s=/Chanpin/chengbenshoujia/chanpinID/31175 | SQL: SELECT * FROM `myerpview_system_category`  [ RunTime:0.000350s ]
[ 2012-07-09T15:57:04+08:00 ] /Index.php?s=/Chanpin/chengbenshoujia/chanpinID/31175 | SQL: SELECT * FROM `myerpview_system_department`  [ RunTime:0.000407s ]
[ 2012-07-09T15:57:04+08:00 ] /Index.php?s=/Chanpin/chengbenshoujia/chanpinID/31175 | SQL: SELECT * FROM `myerpview_system_user`  [ RunTime:0.000573s ]
[ 2012-07-09T15:57:04+08:00 ] /Index.php?s=/Chanpin/chengbenshoujia/chanpinID/31175 | SQL: SELECT * FROM `myerpview_system_roles`  [ RunTime:0.000275s ]
