[ 2012-07-30T10:16:03+08:00 ] /Index.php?s=/Chanpin/index | INFO: Run ContentReplace Behavior [ RunTime:0.000188s ]
[ 2012-07-30T10:16:03+08:00 ] /Index.php?s=/Chanpin/index | INFO: Run TokenBuild Behavior [ RunTime:0.000153s ]
[ 2012-07-30T10:16:03+08:00 ] /Index.php?s=/Chanpin/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000011s ]
[ 2012-07-30T10:16:03+08:00 ] /Index.php?s=/Chanpin/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000082s ]
[ 2012-07-30T10:16:03+08:00 ] /Index.php?s=/Chanpin/index | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.017429s ]
[ 2012-07-30T10:16:03+08:00 ] /Index.php?s=/Chanpin/index | INFO: Tag[ view_end ] --START--
[ 2012-07-30T10:16:03+08:00 ] /Index.php?s=/Chanpin/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000018s ]
[ 2012-07-30T10:16:03+08:00 ] /Index.php?s=/Chanpin/index | INFO: Tag[ view_end ] --END-- [ RunTime:-0.017395s ]
[ 2012-07-30T10:16:34+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31334 | INFO: Tag[ route_check ] --START--
[ 2012-07-30T10:16:34+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31334 | INFO: Run CheckRoute Behavior [ RunTime:0.001363s ]
[ 2012-07-30T10:16:34+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31334 | INFO: Tag[ route_check ] --END-- [ RunTime:0.001504s ]
[ 2012-07-30T10:16:34+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31334 | INFO: Tag[ app_begin ] --START--
[ 2012-07-30T10:16:34+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31334 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000812s ]
[ 2012-07-30T10:16:34+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31334 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000911s ]
[ 2012-07-30T10:16:34+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31334 | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.006607s ]
[ 2012-07-30T10:16:34+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31334 | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000621s ]
[ 2012-07-30T10:16:34+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31334 | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.006778s ]
[ 2012-07-30T10:16:34+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31334 | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000635s ]
[ 2012-07-30T10:16:34+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31334 | SQL: SHOW COLUMNS FROM `myerpview_system_directory` [ RunTime:0.006220s ]
[ 2012-07-30T10:16:34+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31334 | SQL: SELECT * FROM `myerpview_system_directory` WHERE `title` = '基本信息' LIMIT 1   [ RunTime:0.000571s ]
[ 2012-07-30T10:16:34+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31334 | SQL: SELECT * FROM `myerpview_system_directory` WHERE `systemID` = '40988' LIMIT 1   [ RunTime:0.000505s ]
[ 2012-07-30T10:16:34+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31334 | SQL: SELECT * FROM `myerpview_system_directory` WHERE `systemID` = '40973' LIMIT 1   [ RunTime:0.000485s ]
[ 2012-07-30T10:16:34+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31334 | SQL: SHOW COLUMNS FROM `myerpview_chanpin_xianlu` [ RunTime:0.011888s ]
[ 2012-07-30T10:16:34+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31334 | SQL: SELECT * FROM `myerpview_chanpin_xianlu` WHERE `chanpinID` = '31334' LIMIT 1   [ RunTime:0.000779s ]
[ 2012-07-30T10:16:34+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31334 | SQL: SHOW COLUMNS FROM `myerpview_system_datadictionary` [ RunTime:0.049742s ]
[ 2012-07-30T10:16:34+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31334 | SQL: SELECT * FROM `myerpview_system_datadictionary` WHERE `type` = '主题'  [ RunTime:0.000767s ]
[ 2012-07-30T10:16:34+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31334 | INFO: Tag[ view_template ] --START--
[ 2012-07-30T10:16:34+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31334 | INFO: Run LocationTemplate Behavior [ RunTime:0.001513s ]
[ 2012-07-30T10:16:34+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31334 | INFO: Tag[ view_template ] --END-- [ RunTime:0.001643s ]
[ 2012-07-30T10:16:34+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31334 | INFO: Tag[ view_parse ] --START--
