[ 2012-07-26T09:35:08+08:00 ] /Index.php?s=/Chanpin/_tuanyuan_exports/chanpinID/31353/type/%E6%A0%BC%E5%BC%8F1 | SQL: SHOW COLUMNS FROM `myerp_dataCD` [ RunTime:0.002575s ]
[ 2012-07-26T09:35:08+08:00 ] /Index.php?s=/Chanpin/_tuanyuan_exports/chanpinID/31353/type/%E6%A0%BC%E5%BC%8F1 | SQL: SHOW COLUMNS FROM `myerp_dataCD` [ RunTime:0.002533s ]
[ 2012-07-26T09:35:08+08:00 ] /Index.php?s=/Chanpin/_tuanyuan_exports/chanpinID/31353/type/%E6%A0%BC%E5%BC%8F1 | SQL: SELECT * FROM `myerp_dataCD` WHERE 1=1 AND dingdanID='31354'  [ RunTime:0.000176s ]
[ 2012-07-26T09:35:08+08:00 ] /Index.php?s=/Chanpin/_tuanyuan_exports/chanpinID/31353/type/%E6%A0%BC%E5%BC%8F1 | SQL: SHOW COLUMNS FROM `myerp_dataCD` [ RunTime:0.002542s ]
[ 2012-07-26T09:35:08+08:00 ] /Index.php?s=/Chanpin/_tuanyuan_exports/chanpinID/31353/type/%E6%A0%BC%E5%BC%8F1 | SQL: SHOW COLUMNS FROM `myerp_dataCD` [ RunTime:0.002693s ]
[ 2012-07-26T09:35:08+08:00 ] /Index.php?s=/Chanpin/_tuanyuan_exports/chanpinID/31353/type/%E6%A0%BC%E5%BC%8F1 | SQL: SELECT * FROM `myerp_dataCD` WHERE 1=1 AND dingdanID='31357'  [ RunTime:0.000160s ]
[ 2012-07-26T09:35:08+08:00 ] /Index.php?s=/Chanpin/_tuanyuan_exports/chanpinID/31353/type/%E6%A0%BC%E5%BC%8F1 | SQL: SHOW COLUMNS FROM `myerp_dataCD` [ RunTime:0.002656s ]
[ 2012-07-26T09:35:08+08:00 ] /Index.php?s=/Chanpin/_tuanyuan_exports/chanpinID/31353/type/%E6%A0%BC%E5%BC%8F1 | SQL: SHOW COLUMNS FROM `myerp_dataCD` [ RunTime:0.002525s ]
[ 2012-07-26T09:35:08+08:00 ] /Index.php?s=/Chanpin/_tuanyuan_exports/chanpinID/31353/type/%E6%A0%BC%E5%BC%8F1 | SQL: SELECT * FROM `myerp_dataCD` WHERE 1=1 AND dingdanID='31358'  [ RunTime:0.000168s ]
[ 2012-07-26T09:35:08+08:00 ] /Index.php?s=/Chanpin/_tuanyuan_exports/chanpinID/31353/type/%E6%A0%BC%E5%BC%8F1 | SQL: SHOW COLUMNS FROM `myerp_dataCD` [ RunTime:0.002644s ]
[ 2012-07-26T09:35:08+08:00 ] /Index.php?s=/Chanpin/_tuanyuan_exports/chanpinID/31353/type/%E6%A0%BC%E5%BC%8F1 | SQL: SHOW COLUMNS FROM `myerp_dataCD` [ RunTime:0.002659s ]
[ 2012-07-26T09:35:08+08:00 ] /Index.php?s=/Chanpin/_tuanyuan_exports/chanpinID/31353/type/%E6%A0%BC%E5%BC%8F1 | SQL: SELECT * FROM `myerp_dataCD` WHERE 1=1 AND dingdanID='31359'  [ RunTime:0.000185s ]
