[ 2012-08-20T14:07:51+08:00 ] /Index.php?s=/Chanpin/index/status/%E5%87%86%E5%A4%87/departmentID/40151 | INFO: Tag[ view_template ] --START--
[ 2012-08-20T14:07:51+08:00 ] /Index.php?s=/Chanpin/index/status/%E5%87%86%E5%A4%87/departmentID/40151 | INFO: Run LocationTemplate Behavior [ RunTime:0.000355s ]
[ 2012-08-20T14:07:51+08:00 ] /Index.php?s=/Chanpin/index/status/%E5%87%86%E5%A4%87/departmentID/40151 | INFO: Tag[ view_template ] --END-- [ RunTime:-0.015821s ]
[ 2012-08-20T14:07:51+08:00 ] /Index.php?s=/Chanpin/index/status/%E5%87%86%E5%A4%87/departmentID/40151 | INFO: Tag[ view_parse ] --START--
[ 2012-08-20T14:07:51+08:00 ] /Index.php?s=/Chanpin/index/status/%E5%87%86%E5%A4%87/departmentID/40151 | NOTIC: [8] Undefined variable: datatitle b30cabab87d73a25ac5418e1b290c6d0.php 第 5 行.
[ 2012-08-20T14:07:51+08:00 ] /Index.php?s=/Chanpin/index/status/%E5%87%86%E5%A4%87/departmentID/40151 | INFO: Run ParseTemplate Behavior [ RunTime:0.007504s ]
[ 2012-08-20T14:07:51+08:00 ] /Index.php?s=/Chanpin/index/status/%E5%87%86%E5%A4%87/departmentID/40151 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.007555s ]
[ 2012-08-20T14:07:51+08:00 ] /Index.php?s=/Chanpin/index/status/%E5%87%86%E5%A4%87/departmentID/40151 | INFO: Tag[ view_filter ] --START--
[ 2012-08-20T14:07:51+08:00 ] /Index.php?s=/Chanpin/index/status/%E5%87%86%E5%A4%87/departmentID/40151 | INFO: Run ContentReplace Behavior [ RunTime:0.000285s ]
[ 2012-08-20T14:07:51+08:00 ] /Index.php?s=/Chanpin/index/status/%E5%87%86%E5%A4%87/departmentID/40151 | INFO: Run TokenBuild Behavior [ RunTime:0.000310s ]
[ 2012-08-20T14:07:51+08:00 ] /Index.php?s=/Chanpin/index/status/%E5%87%86%E5%A4%87/departmentID/40151 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000159s ]
[ 2012-08-20T14:07:51+08:00 ] /Index.php?s=/Chanpin/index/status/%E5%87%86%E5%A4%87/departmentID/40151 | INFO: Run ShowRuntime Behavior [ RunTime:0.000320s ]
[ 2012-08-20T14:07:51+08:00 ] /Index.php?s=/Chanpin/index/status/%E5%87%86%E5%A4%87/departmentID/40151 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001194s ]
[ 2012-08-20T14:07:51+08:00 ] /Index.php?s=/Chanpin/index/status/%E5%87%86%E5%A4%87/departmentID/40151 | INFO: Tag[ view_end ] --START--
[ 2012-08-20T14:07:51+08:00 ] /Index.php?s=/Chanpin/index/status/%E5%87%86%E5%A4%87/departmentID/40151 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000325s ]
[ 2012-08-20T14:07:51+08:00 ] /Index.php?s=/Chanpin/index/status/%E5%87%86%E5%A4%87/departmentID/40151 | INFO: Tag[ view_end ] --END-- [ RunTime:0.000364s ]
[ 2012-08-20T14:07:51+08:00 ] /Index.php?s=/Chanpin/index/status/%E5%87%86%E5%A4%87/departmentID/40151 | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.003430s ]
[ 2012-08-20T14:07:51+08:00 ] /Index.php?s=/Chanpin/index/status/%E5%87%86%E5%A4%87/departmentID/40151 | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000342s ]
[ 2012-08-20T14:07:51+08:00 ] /Index.php?s=/Chanpin/index/status/%E5%87%86%E5%A4%87/departmentID/40151 | SQL: SHOW COLUMNS FROM `myerpview_system_department` [ RunTime:0.002935s ]
[ 2012-08-20T14:07:51+08:00 ] /Index.php?s=/Chanpin/index/status/%E5%87%86%E5%A4%87/departmentID/40151 | SQL: SELECT * FROM `myerpview_system_department` WHERE ( `type` LIKE '联合体' )  [ RunTime:0.000365s ]
[ 2012-08-20T14:07:51+08:00 ] /Index.php?s=/Chanpin/index/status/%E5%87%86%E5%A4%87/departmentID/40151 | INFO: Tag[ view_template ] --START--
[ 2012-08-20T14:07:51+08:00 ] /Index.php?s=/Chanpin/index/status/%E5%87%86%E5%A4%87/departmentID/40151 | INFO: Run LocationTemplate Behavior [ RunTime:0.000394s ]
[ 2012-08-20T14:07:51+08:00 ] /Index.php?s=/Chanpin/index/status/%E5%87%86%E5%A4%87/departmentID/40151 | INFO: Tag[ view_template ] --END-- [ RunTime:-0.034150s ]
[ 2012-08-20T14:07:51+08:00 ] /Index.php?s=/Chanpin/index/status/%E5%87%86%E5%A4%87/departmentID/40151 | INFO: Tag[ view_parse ] --START--
[ 2012-08-20T14:07:51+08:00 ] /Index.php?s=/Chanpin/index/status/%E5%87%86%E5%A4%87/departmentID/40151 | INFO: Run ParseTemplate Behavior [ RunTime:0.005393s ]
[ 2012-08-20T14:07:51+08:00 ] /Index.php?s=/Chanpin/index/status/%E5%87%86%E5%A4%87/departmentID/40151 | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.010819s ]
[ 2012-08-20T14:07:51+08:00 ] /Index.php?s=/Chanpin/index/status/%E5%87%86%E5%A4%87/departmentID/40151 | INFO: Tag[ view_filter ] --START--
[ 2012-08-20T14:07:51+08:00 ] /Index.php?s=/Chanpin/index/status/%E5%87%86%E5%A4%87/departmentID/40151 | INFO: Run ContentReplace Behavior [ RunTime:0.000072s ]
[ 2012-08-20T14:07:51+08:00 ] /Index.php?s=/Chanpin/index/status/%E5%87%86%E5%A4%87/departmentID/40151 | INFO: Run TokenBuild Behavior [ RunTime:0.000060s ]
[ 2012-08-20T14:07:51+08:00 ] /Index.php?s=/Chanpin/index/status/%E5%87%86%E5%A4%87/departmentID/40151 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000010s ]
[ 2012-08-20T14:07:51+08:00 ] /Index.php?s=/Chanpin/index/status/%E5%87%86%E5%A4%87/departmentID/40151 | INFO: Run ShowRuntime Behavior [ RunTime:0.000068s ]
[ 2012-08-20T14:07:51+08:00 ] /Index.php?s=/Chanpin/index/status/%E5%87%86%E5%A4%87/departmentID/40151 | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.015063s ]
[ 2012-08-20T14:07:51+08:00 ] /Index.php?s=/Chanpin/index/status/%E5%87%86%E5%A4%87/departmentID/40151 | INFO: Tag[ view_end ] --START--
[ 2012-08-20T14:07:51+08:00 ] /Index.php?s=/Chanpin/index/status/%E5%87%86%E5%A4%87/departmentID/40151 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000017s ]
[ 2012-08-20T14:07:51+08:00 ] /Index.php?s=/Chanpin/index/status/%E5%87%86%E5%A4%87/departmentID/40151 | INFO: Tag[ view_end ] --END-- [ RunTime:-0.015004s ]
[ 2012-08-20T14:07:51+08:00 ] /Index.php?s=/Chanpin/index/status/%E5%87%86%E5%A4%87/departmentID/40151 | NOTIC: [8] Undefined variable: datatitle f35ed8b8f2c6901afe2dfb4cbf4d4ea6.php 第 14 行.
[ 2012-08-20T14:07:51+08:00 ] /Index.php?s=/Chanpin/index/status/%E5%87%86%E5%A4%87/departmentID/40151 | NOTIC: [8] Undefined variable: title f35ed8b8f2c6901afe2dfb4cbf4d4ea6.php 第 44 行.
