[ 2012-08-21T11:30:59+08:00 ] /Index.php?s=/Chanpin/zituanbaozhang/type/%E5%9B%A2%E9%98%9F%E6%8A%A5%E8%B4%A6%E5%8D%95/chanpinID/31593 | SQL: SELECT * FROM `myerpview_system_directory` WHERE `systemID` = '40990' AND (`status_system` = '1') LIMIT 1   [ RunTime:0.000268s ]
[ 2012-08-21T11:30:59+08:00 ] /Index.php?s=/Chanpin/zituanbaozhang/type/%E5%9B%A2%E9%98%9F%E6%8A%A5%E8%B4%A6%E5%8D%95/chanpinID/31593 | SQL: SELECT * FROM `myerpview_system_directory` WHERE `systemID` = '40973' AND (`status_system` = '1') LIMIT 1   [ RunTime:0.000259s ]
[ 2012-08-21T11:30:59+08:00 ] /Index.php?s=/Chanpin/zituanbaozhang/type/%E5%9B%A2%E9%98%9F%E6%8A%A5%E8%B4%A6%E5%8D%95/chanpinID/31593 | SQL: SHOW COLUMNS FROM `myerpview_chanpin_zituan` [ RunTime:0.004953s ]
[ 2012-08-21T11:30:59+08:00 ] /Index.php?s=/Chanpin/zituanbaozhang/type/%E5%9B%A2%E9%98%9F%E6%8A%A5%E8%B4%A6%E5%8D%95/chanpinID/31593 | SQL: SELECT * FROM `myerpview_chanpin_zituan` WHERE `chanpinID` = '31593' LIMIT 1   [ RunTime:0.000319s ]
[ 2012-08-21T11:30:59+08:00 ] /Index.php?s=/Chanpin/zituanbaozhang/type/%E5%9B%A2%E9%98%9F%E6%8A%A5%E8%B4%A6%E5%8D%95/chanpinID/31593 | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.002941s ]
[ 2012-08-21T11:30:59+08:00 ] /Index.php?s=/Chanpin/zituanbaozhang/type/%E5%9B%A2%E9%98%9F%E6%8A%A5%E8%B4%A6%E5%8D%95/chanpinID/31593 | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000333s ]
[ 2012-08-21T11:30:59+08:00 ] /Index.php?s=/Chanpin/zituanbaozhang/type/%E5%9B%A2%E9%98%9F%E6%8A%A5%E8%B4%A6%E5%8D%95/chanpinID/31593 | NOTIC: [2] Missing argument 4 for MethodAction::_checkDataOM(), called in E:\Myerp\Myerp\Lib\Action\MethodAction.class.php on line 1664 and defined MethodAction.class.php 第 917 行.
[ 2012-08-21T11:30:59+08:00 ] /Index.php?s=/Chanpin/zituanbaozhang/type/%E5%9B%A2%E9%98%9F%E6%8A%A5%E8%B4%A6%E5%8D%95/chanpinID/31593 | NOTIC: [8] Undefined variable: userID MethodAction.class.php 第 919 行.
[ 2012-08-21T11:30:59+08:00 ] /Index.php?s=/Chanpin/zituanbaozhang/type/%E5%9B%A2%E9%98%9F%E6%8A%A5%E8%B4%A6%E5%8D%95/chanpinID/31593 | SQL: SHOW COLUMNS FROM `myerpview_system_dur` [ RunTime:0.002787s ]
[ 2012-08-21T11:30:59+08:00 ] /Index.php?s=/Chanpin/zituanbaozhang/type/%E5%9B%A2%E9%98%9F%E6%8A%A5%E8%B4%A6%E5%8D%95/chanpinID/31593 | SQL: SELECT * FROM `myerpview_system_dur` WHERE `userID` = '40449' AND (`status_system` = '1')  [ RunTime:0.000372s ]
[ 2012-08-21T11:30:59+08:00 ] /Index.php?s=/Chanpin/zituanbaozhang/type/%E5%9B%A2%E9%98%9F%E6%8A%A5%E8%B4%A6%E5%8D%95/chanpinID/31593 | SQL: SHOW COLUMNS FROM `myerp_dataOM` [ RunTime:0.002494s ]
[ 2012-08-21T11:30:59+08:00 ] /Index.php?s=/Chanpin/zituanbaozhang/type/%E5%9B%A2%E9%98%9F%E6%8A%A5%E8%B4%A6%E5%8D%95/chanpinID/31593 | SQL: SELECT DISTINCT  `dataID` FROM `myerp_dataOM` WHERE ( `dataID` = 31593 ) AND ( `datatype` = '子团' ) AND ( `type` = '管理' ) AND ( `DUR` = '40150,,' ) LIMIT 1   [ RunTime:0.000744s ]
[ 2012-08-21T11:30:59+08:00 ] /Index.php?s=/Chanpin/zituanbaozhang/type/%E5%9B%A2%E9%98%9F%E6%8A%A5%E8%B4%A6%E5%8D%95/chanpinID/31593 | SQL: SELECT DISTINCT  `dataID` FROM `myerp_dataOM` WHERE ( `dataID` = 31593 ) AND ( `datatype` = '子团' ) AND ( `type` = '管理' ) AND ( `DUR` = '40150,40185,40449' ) LIMIT 1   [ RunTime:0.000707s ]
[ 2012-08-21T11:30:59+08:00 ] /Index.php?s=/Chanpin/zituanbaozhang/type/%E5%9B%A2%E9%98%9F%E6%8A%A5%E8%B4%A6%E5%8D%95/chanpinID/31593 | SQL: SELECT DISTINCT  `dataID` FROM `myerp_dataOM` WHERE ( `dataID` = 31593 ) AND ( `datatype` = '子团' ) AND ( `type` = '管理' ) AND ( `DUR` = '40150,40185,' ) LIMIT 1   [ RunTime:0.000727s ]
[ 2012-08-21T11:30:59+08:00 ] /Index.php?s=/Chanpin/zituanbaozhang/type/%E5%9B%A2%E9%98%9F%E6%8A%A5%E8%B4%A6%E5%8D%95/chanpinID/31593 | SQL: SELECT DISTINCT  `dataID` FROM `myerp_dataOM` WHERE ( `dataID` = 31593 ) AND ( `datatype` = '子团' ) AND ( `type` = '管理' ) AND ( `DUR` = '40150,,40449' ) LIMIT 1   [ RunTime:0.000701s ]
[ 2012-08-21T11:30:59+08:00 ] /Index.php?s=/Chanpin/zituanbaozhang/type/%E5%9B%A2%E9%98%9F%E6%8A%A5%E8%B4%A6%E5%8D%95/chanpinID/31593 | SQL: SELECT DISTINCT  `dataID` FROM `myerp_dataOM` WHERE ( `dataID` = 31593 ) AND ( `datatype` = '子团' ) AND ( `type` = '管理' ) AND ( `DUR` = ',40185,40449' ) LIMIT 1   [ RunTime:0.000749s ]
[ 2012-08-21T11:30:59+08:00 ] /Index.php?s=/Chanpin/zituanbaozhang/type/%E5%9B%A2%E9%98%9F%E6%8A%A5%E8%B4%A6%E5%8D%95/chanpinID/31593 | SQL: SELECT DISTINCT  `dataID` FROM `myerp_dataOM` WHERE ( `dataID` = 31593 ) AND ( `datatype` = '子团' ) AND ( `type` = '管理' ) AND ( `DUR` = ',40185,' ) LIMIT 1   [ RunTime:0.000711s ]
[ 2012-08-21T11:30:59+08:00 ] /Index.php?s=/Chanpin/zituanbaozhang/type/%E5%9B%A2%E9%98%9F%E6%8A%A5%E8%B4%A6%E5%8D%95/chanpinID/31593 | SQL: SELECT DISTINCT  `dataID` FROM `myerp_dataOM` WHERE ( `dataID` = 31593 ) AND ( `datatype` = '子团' ) AND ( `type` = '管理' ) AND ( `DUR` = ',,40449' ) LIMIT 1   [ RunTime:0.000690s ]
