[ 2012-08-20T11:35:50+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31417/xianluID/31412/shoujiaID/31585 | SQL: SELECT * FROM `myerpview_system_datadictionary` WHERE `type` = '提成' AND `status_system` = '1'  [ RunTime:0.000335s ]
[ 2012-08-20T11:35:50+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31417/xianluID/31412/shoujiaID/31585 | NOTIC: [8] Undefined index:  doprint XiaoshouAction.class.php 第 109 行.
[ 2012-08-20T11:35:50+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31417/xianluID/31412/shoujiaID/31585 | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.003054s ]
[ 2012-08-20T11:35:50+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31417/xianluID/31412/shoujiaID/31585 | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000321s ]
[ 2012-08-20T11:35:50+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31417/xianluID/31412/shoujiaID/31585 | SQL: SHOW COLUMNS FROM `myerpview_system_dur` [ RunTime:0.002818s ]
[ 2012-08-20T11:35:50+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31417/xianluID/31412/shoujiaID/31585 | SQL: SELECT * FROM `myerpview_system_dur` WHERE `userID` = '40449' AND (`status_system` = '1')  [ RunTime:0.000368s ]
[ 2012-08-20T11:35:50+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31417/xianluID/31412/shoujiaID/31585 | SQL: SHOW COLUMNS FROM `myerp_system` [ RunTime:0.002700s ]
[ 2012-08-20T11:35:50+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31417/xianluID/31412/shoujiaID/31585 | SQL: SHOW COLUMNS FROM `myerp_system` [ RunTime:0.002534s ]
[ 2012-08-20T11:35:50+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31417/xianluID/31412/shoujiaID/31585 | SQL: SHOW COLUMNS FROM `myerpview_system_department` [ RunTime:0.002915s ]
[ 2012-08-20T11:35:50+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31417/xianluID/31412/shoujiaID/31585 | SQL: SELECT * FROM `myerpview_system_department` WHERE 1=1 AND systemID='40150' LIMIT 1   [ RunTime:0.000369s ]
[ 2012-08-20T11:35:50+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31417/xianluID/31412/shoujiaID/31585 | SQL: SHOW COLUMNS FROM `myerp_system` [ RunTime:0.002576s ]
[ 2012-08-20T11:35:50+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31417/xianluID/31412/shoujiaID/31585 | SQL: SHOW COLUMNS FROM `myerp_system` [ RunTime:0.002620s ]
[ 2012-08-20T11:35:50+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31417/xianluID/31412/shoujiaID/31585 | SQL: SHOW COLUMNS FROM `myerpview_system_department` [ RunTime:0.002791s ]
[ 2012-08-20T11:35:50+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31417/xianluID/31412/shoujiaID/31585 | SQL: SELECT * FROM `myerpview_system_department` WHERE 1=1 AND systemID='40178' LIMIT 1   [ RunTime:0.000299s ]
[ 2012-08-20T11:35:50+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31417/xianluID/31412/shoujiaID/31585 | SQL: SHOW COLUMNS FROM `myerp_system` [ RunTime:0.002570s ]
[ 2012-08-20T11:35:50+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31417/xianluID/31412/shoujiaID/31585 | SQL: SHOW COLUMNS FROM `myerp_system` [ RunTime:0.002593s ]
[ 2012-08-20T11:35:50+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31417/xianluID/31412/shoujiaID/31585 | SQL: SHOW COLUMNS FROM `myerpview_system_department` [ RunTime:0.002808s ]
[ 2012-08-20T11:35:50+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31417/xianluID/31412/shoujiaID/31585 | SQL: SELECT * FROM `myerpview_system_department` WHERE 1=1 AND systemID='40150' LIMIT 1   [ RunTime:0.000340s ]
[ 2012-08-20T11:35:50+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31417/xianluID/31412/shoujiaID/31585 | SQL: SHOW COLUMNS FROM `myerp_system` [ RunTime:0.002475s ]
[ 2012-08-20T11:35:50+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31417/xianluID/31412/shoujiaID/31585 | SQL: SHOW COLUMNS FROM `myerp_system` [ RunTime:0.002589s ]
[ 2012-08-20T11:35:50+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31417/xianluID/31412/shoujiaID/31585 | SQL: SHOW COLUMNS FROM `myerpview_system_department` [ RunTime:0.002674s ]
[ 2012-08-20T11:35:50+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31417/xianluID/31412/shoujiaID/31585 | SQL: SELECT * FROM `myerpview_system_department` WHERE 1=1 AND systemID='40178' LIMIT 1   [ RunTime:0.000296s ]
