[ 2012-07-10T09:40:15+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31175 | NOTIC: [8] Undefined index:  quanpei ac068ce3b2b67211b72816510821cf7d.php 第 132 行.
[ 2012-07-10T09:40:15+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31175 | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.002852s ]
[ 2012-07-10T09:40:15+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31175 | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000299s ]
[ 2012-07-10T09:40:15+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31175 | INFO: Tag[ view_template ] --START--
[ 2012-07-10T09:40:15+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31175 | INFO: Run LocationTemplate Behavior [ RunTime:0.000426s ]
[ 2012-07-10T09:40:15+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31175 | INFO: Tag[ view_template ] --END-- [ RunTime:-0.075939s ]
[ 2012-07-10T09:40:15+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31175 | INFO: Tag[ view_parse ] --START--
[ 2012-07-10T09:40:15+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31175 | INFO: Run ParseTemplate Behavior [ RunTime:0.001326s ]
[ 2012-07-10T09:40:15+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31175 | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.051478s ]
[ 2012-07-10T09:40:15+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31175 | INFO: Tag[ view_filter ] --START--
[ 2012-07-10T09:40:15+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31175 | INFO: Run ContentReplace Behavior [ RunTime:0.000042s ]
[ 2012-07-10T09:40:15+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31175 | INFO: Run TokenBuild Behavior [ RunTime:0.000054s ]
[ 2012-07-10T09:40:15+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31175 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000010s ]
[ 2012-07-10T09:40:15+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31175 | INFO: Run ShowRuntime Behavior [ RunTime:0.000052s ]
[ 2012-07-10T09:40:15+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31175 | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.050829s ]
[ 2012-07-10T09:40:15+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31175 | INFO: Tag[ view_end ] --START--
[ 2012-07-10T09:40:15+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31175 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000017s ]
[ 2012-07-10T09:40:15+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31175 | INFO: Tag[ view_end ] --END-- [ RunTime:-0.050519s ]
[ 2012-07-10T09:40:15+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31175 | NOTIC: [8] Use of undefined constant mudidi - assumed 'mudidi' ac068ce3b2b67211b72816510821cf7d.php 第 222 行.
[ 2012-07-10T09:40:15+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31175 | NOTIC: [8] Use of undefined constant chufadi - assumed 'chufadi' ac068ce3b2b67211b72816510821cf7d.php 第 250 行.
[ 2012-07-10T09:40:15+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31175 | INFO: Run ParseTemplate Behavior [ RunTime:0.000112s ]
[ 2012-07-10T09:40:15+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31175 | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.051478s ]
[ 2012-07-10T09:40:15+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31175 | INFO: Tag[ view_filter ] --START--
[ 2012-07-10T09:40:15+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31175 | INFO: Run ContentReplace Behavior [ RunTime:0.000165s ]
[ 2012-07-10T09:40:15+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31175 | INFO: Run TokenBuild Behavior [ RunTime:0.000126s ]
[ 2012-07-10T09:40:15+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31175 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000011s ]
[ 2012-07-10T09:40:15+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31175 | INFO: Run ShowRuntime Behavior [ RunTime:0.000077s ]
[ 2012-07-10T09:40:15+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31175 | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.051296s ]
[ 2012-07-10T09:40:15+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31175 | INFO: Tag[ view_end ] --START--
[ 2012-07-10T09:40:15+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31175 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000017s ]
[ 2012-07-10T09:40:15+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31175 | INFO: Tag[ view_end ] --END-- [ RunTime:-0.051223s ]
[ 2012-07-10T09:40:15+08:00 ] /Index.php?s=/Message/liandong | INFO: Tag[ route_check ] --START--
[ 2012-07-10T09:40:15+08:00 ] /Index.php?s=/Message/liandong | INFO: Run CheckRoute Behavior [ RunTime:0.000823s ]
[ 2012-07-10T09:40:15+08:00 ] /Index.php?s=/Message/liandong | INFO: Tag[ route_check ] --END-- [ RunTime:0.000893s ]
[ 2012-07-10T09:40:15+08:00 ] /Index.php?s=/Message/liandong | INFO: Tag[ app_begin ] --START--
[ 2012-07-10T09:40:15+08:00 ] /Index.php?s=/Message/liandong | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000596s ]
[ 2012-07-10T09:40:15+08:00 ] /Index.php?s=/Message/liandong | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000641s ]
[ 2012-07-10T09:40:15+08:00 ] /Index.php?s=/Message/liandong | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.003166s ]
[ 2012-07-10T09:40:15+08:00 ] /Index.php?s=/Message/liandong | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000298s ]
[ 2012-07-10T09:40:15+08:00 ] /Index.php?s=/Message/liandong | NOTIC: [8] Undefined index:  parentID MessageAction.class.php 第 83 行.
[ 2012-07-10T09:40:15+08:00 ] /Index.php?s=/Message/liandong | SQL: SHOW COLUMNS FROM `myerp_liandong` [ RunTime:0.002682s ]
[ 2012-07-10T09:40:15+08:00 ] /Index.php?s=/Message/liandong | SQL: SELECT * FROM `myerp_liandong` WHERE ( `pid` = 0 )  [ RunTime:0.000181s ]
[ 2012-07-10T09:40:15+08:00 ] /Index.php?s=/Message/liandong | INFO: Tag[ route_check ] --START--
