[ 2012-07-20T11:51:05+08:00 ] /Index.php?s=/Chanpin/xingcheng/chanpinID/31175 | SQL: SELECT * FROM `myerpview_system_roles` WHERE `systemID` = '40185' LIMIT 1   [ RunTime:0.000365s ]
[ 2012-07-20T11:51:05+08:00 ] /Index.php?s=/Chanpin/xingcheng/chanpinID/31175 | SQL: SHOW COLUMNS FROM `myerpview_system_department` [ RunTime:0.002899s ]
[ 2012-07-20T11:51:05+08:00 ] /Index.php?s=/Chanpin/xingcheng/chanpinID/31175 | SQL: SELECT * FROM `myerpview_system_department` WHERE `systemID` = '40150' LIMIT 1   [ RunTime:0.000359s ]
[ 2012-07-20T11:51:05+08:00 ] /Index.php?s=/Chanpin/xingcheng/chanpinID/31175 | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.002806s ]
[ 2012-07-20T11:51:05+08:00 ] /Index.php?s=/Chanpin/xingcheng/chanpinID/31175 | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000285s ]
[ 2012-07-20T11:51:05+08:00 ] /Index.php?s=/Chanpin/xingcheng/chanpinID/31175 | SQL: SHOW COLUMNS FROM `myerp_dataShenhe` [ RunTime:0.002384s ]
[ 2012-07-20T11:51:05+08:00 ] /Index.php?s=/Chanpin/xingcheng/chanpinID/31175 | SQL: SELECT * FROM `myerp_dataShenhe` WHERE `datatype` = '线路' and `processID` = '2'  [ RunTime:0.000138s ]
[ 2012-07-20T11:51:05+08:00 ] /Index.php?s=/Chanpin/xingcheng/chanpinID/31175 | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.002692s ]
[ 2012-07-20T11:51:05+08:00 ] /Index.php?s=/Chanpin/xingcheng/chanpinID/31175 | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000382s ]
[ 2012-07-20T11:51:05+08:00 ] /Index.php?s=/Chanpin/xingcheng/chanpinID/31175 | SQL: SHOW COLUMNS FROM `myerpview_system_taskshenhe` [ RunTime:0.002744s ]
[ 2012-07-20T11:51:05+08:00 ] /Index.php?s=/Chanpin/xingcheng/chanpinID/31175 | NOTIC: [8] Undefined variable: processID MethodAction.class.php 第 839 行.
[ 2012-07-20T11:51:05+08:00 ] /Index.php?s=/Chanpin/xingcheng/chanpinID/31175 | SQL: SELECT * FROM `myerpview_system_taskshenhe` WHERE `dataID` = '31175' and `datatype` = '线路' and `status` = '待检出' LIMIT 1   [ RunTime:0.000395s ]
[ 2012-07-20T11:51:05+08:00 ] /Index.php?s=/Chanpin/xingcheng/chanpinID/31175 | NOTIC: [2] Missing argument 4 for MethodAction::_checkDataOM(), called in E:\Myerp\Myerp\Lib\Action\MethodAction.class.php on line 748 and defined MethodAction.class.php 第 757 行.
[ 2012-07-20T11:51:05+08:00 ] /Index.php?s=/Chanpin/xingcheng/chanpinID/31175 | NOTIC: [8] Undefined variable: userID MethodAction.class.php 第 759 行.
[ 2012-07-20T11:51:05+08:00 ] /Index.php?s=/Chanpin/xingcheng/chanpinID/31175 | SQL: SHOW COLUMNS FROM `myerp_system_DUR` [ RunTime:0.002420s ]
[ 2012-07-20T11:51:05+08:00 ] /Index.php?s=/Chanpin/xingcheng/chanpinID/31175 | SQL: SELECT * FROM `myerp_system_DUR` WHERE `userID` = '40449'  [ RunTime:0.000177s ]
[ 2012-07-20T11:51:05+08:00 ] /Index.php?s=/Chanpin/xingcheng/chanpinID/31175 | SQL: SHOW COLUMNS FROM `myerp_dataOM` [ RunTime:0.002357s ]
[ 2012-07-20T11:51:05+08:00 ] /Index.php?s=/Chanpin/xingcheng/chanpinID/31175 | SQL: SELECT DISTINCT  `dataID` FROM `myerp_dataOM` WHERE ( `dataID` = null ) AND ( `datatype` = null ) AND ( `type` = '管理' ) AND ( `DUR` = '40150,,' ) LIMIT 1   [ RunTime:0.000301s ]
[ 2012-07-20T11:51:05+08:00 ] /Index.php?s=/Chanpin/xingcheng/chanpinID/31175 | SQL: SELECT DISTINCT  `dataID` FROM `myerp_dataOM` WHERE ( `dataID` = null ) AND ( `datatype` = null ) AND ( `type` = '管理' ) AND ( `DUR` = '40150,40185,' ) LIMIT 1   [ RunTime:0.000277s ]
[ 2012-07-20T11:51:05+08:00 ] /Index.php?s=/Chanpin/xingcheng/chanpinID/31175 | SQL: SELECT DISTINCT  `dataID` FROM `myerp_dataOM` WHERE ( `dataID` = null ) AND ( `datatype` = null ) AND ( `type` = '管理' ) AND ( `DUR` = ',40185,' ) LIMIT 1   [ RunTime:0.000274s ]
[ 2012-07-20T11:51:05+08:00 ] /Index.php?s=/Chanpin/xingcheng/chanpinID/31175 | SQL: SELECT DISTINCT  `dataID` FROM `myerp_dataOM` WHERE ( `dataID` = null ) AND ( `datatype` = null ) AND ( `type` = '管理' ) AND ( `DUR` = ',,40449' ) LIMIT 1   [ RunTime:0.000270s ]
